Code,Year,GDP 2015 PPP,GDP 2022 (2015 USD PPP),GDP 2022 (2017 USD PPP),Multiplier
CYP,1980,7992229796.522497,27902745979.207535,41068271475.657196,1.4718361951279024
CZE,1980,0.0,215974795467.24942,438115477819.058,2.028549103941595
DNK,1980,163196555843.84103,356222057631.88745,353799230461.08997,0.9931985481558776
DJI,1980,0.0,3307565405.1624985,5592373778.025646,1.6907825221829276
DMA,1980,337969761.786209,533867403.0042049,833827717.9574826,1.5618629518590688
DOM,1980,35008059492.6519,98050971574.06995,217143110194.39716,2.2145941718727618
ECU,1980,65640592680.2653,100635339955.85878,195476780141.87552,1.9424267879217838
EGY,1980,196641329179.03088,453827104224.60486,1418537854129.6553,3.1257230802759692
SLV,1980,27504213678.758877,27100464996.83414,59536826547.47081,2.1968931733985326
GNQ,1980,331443575.8114403,9957665857.354395,24986774542.054,2.5093003621526035
EST,1980,0.0,28518917121.59921,50867209717.32932,1.7836304758852262
SWZ,1980,1730129052.0815609,4822247028.231629,10885427645.900635,2.257335134880562
ETH,1980,0.0,105775519453.14902,293788053498.9423,2.777467366908743
FJI,1980,5371680009.239698,4939873229.038583,11518042114.46601,2.331647307618802
FIN,1980,120399732030.3616,259985498582.81244,273777977547.40417,1.0530509549177738
FRA,1980,1537681677521.8633,2638406985036.3213,3120183016557.4175,1.1826011052326197
GAB,1980,14433431279.206278,15855897831.743963,33302039176.256992,2.10029350148721
GMB,1980,1517351308.7061365,1835641393.187567,5719424859.827765,3.1157637221810845
GEO,1980,55589770192.24093,20190828885.804707,63403374976.88251,3.140206642108619
DEU,1980,2315819972452.432,3633579269920.3105,4522545872199.405,1.2446531467300537
GHA,1980,28704562759.777256,68003830999.542915,183458814081.90674,2.6977717488172077
GRC,1980,231047114132.02545,211538468429.4315,330579477776.2994,1.5627392985809556
GRD,1980,543224646.2233663,1089874059.169431,1814201858.157969,1.664597705482166
GTM,1980,46136777872.687355,78182161579.31055,159033867811.59174,2.034145188608818
GIN,1980,0.0,13782241447.019966,37408147201.042915,2.714228113390903
GNB,1980,1197112213.225455,1309350904.2584872,3906060695.9762416,2.983203878557158
GUY,1980,5078558781.659883,14270953618.873104,28818699423.762302,2.019395493350216
HTI,1980,27032289650.162907,14456828346.330471,32427707826.741947,2.243072066009068
HND,1980,14946039662.296799,25953884373.560226,59562493585.688286,2.2949356145843764
HKG,1980,85699692294.03094,318598258232.253,429591711531.7636,1.3483806029429017
HUN,1980,0.0,157531157312.5219,340947086291.47186,2.164315251078083
ISL,1980,0.0,21556161804.58636,21226927351.27783,0.9847266662640061
IND,1980,922105470601.8981,2961515505727.631,10078991437253.588,3.4033221901964095
IDN,1980,481725185201.69727,1122285145727.062,3418905181206.3936,3.046378359566978
IRN,1980,423263366706.95856,487695221421.96594,1369087388258.7922,2.807260207034557
IRQ,1980,84329966073.97415,192925535194.34384,409320747067.00964,2.121651478922579
IRL,1980,65670805818.51635,498960174855.6298,576526788952.2828,1.1554565233970753
ISR,1980,0.0,408208262853.2228,424288967592.7524,1.0393933837280303
