Source,CodeNumeric,Year,CO2 Emission,Code
Coal,122,1944,572485.0,LVA
Coal,122,1945,1085877.0,LVA
Coal,122,1946,1200784.0,LVA
Coal,122,1947,1435472.0,LVA
Coal,122,1948,1477850.0,LVA
Coal,122,1949,1653100.0,LVA
Coal,122,1950,1833085.0,LVA
Coal,122,1951,1991212.0,LVA
Coal,122,1952,2055506.0,LVA
Coal,122,1953,2105281.0,LVA
Coal,122,1954,2269176.0,LVA
Coal,122,1955,2512947.0,LVA
Coal,122,1956,2615094.0,LVA
Coal,122,1957,2741406.0,LVA
Coal,122,1958,2749730.0,LVA
Coal,122,1959,2744570.0,LVA
Coal,122,1960,2669886.0,LVA
Coal,122,1961,2542170.0,LVA
Coal,122,1962,2426654.0,LVA
Coal,122,1963,2479273.0,LVA
Coal,122,1964,2532439.0,LVA
Coal,122,1965,2603352.0,LVA
Coal,122,1966,2667629.0,LVA
Coal,122,1967,2618937.0,LVA
Coal,122,1968,2531277.0,LVA
Coal,122,1969,2521524.0,LVA
Coal,122,1970,2644326.0,LVA
Coal,122,1971,2682005.0,LVA
Coal,122,1972,2710961.0,LVA
Coal,122,1973,2685586.0,LVA
Coal,122,1974,2636099.0,LVA
Coal,122,1975,2702134.0,LVA
Coal,122,1976,2793041.0,LVA
Coal,122,1977,2831406.0,LVA
Coal,122,1978,2749587.0,LVA
Coal,122,1979,2755887.0,LVA
Coal,122,1980,2932258.0,LVA
Coal,122,1981,2597078.0,LVA
Coal,122,1982,2652153.0,LVA
Coal,122,1983,2650077.0,LVA
Coal,122,1984,2677292.0,LVA
Coal,122,1985,3173832.0,LVA
Coal,122,1986,4025033.0,LVA
Coal,122,1987,3658185.0,LVA
Coal,122,1988,3789364.0,LVA
Coal,122,1989,3083299.0,LVA
Coal,122,1990,2811669.0,LVA
Coal,122,1991,2455090.0,LVA
Coal,122,1992,2163498.0,LVA
Coal,122,1993,1994787.0,LVA
Coal,122,1994,1520794.0,LVA
Coal,122,1995,1111259.0,LVA
Coal,122,1996,1039513.94,LVA
Coal,122,1997,941060.0,LVA
Coal,122,1998,703367.0,LVA
Coal,122,1999,538523.0,LVA
Coal,122,2000,569863.0,LVA
Coal,122,2001,525763.0,LVA
Coal,122,2002,435511.0,LVA
Coal,122,2003,387864.0,LVA
Coal,122,2004,321560.0,LVA
Coal,122,2005,361700.0,LVA
Coal,122,2006,381311.0,LVA
Coal,122,2007,453590.0,LVA
Coal,122,2008,440299.0,LVA
Coal,122,2009,362411.0,LVA
Coal,122,2010,455342.0,LVA
Coal,122,2011,442418.0,LVA
Coal,122,2012,400164.0,LVA
Coal,122,2013,301134.0,LVA
Coal,122,2014,242430.0,LVA
Coal,122,2015,190231.0,LVA
Coal,122,2016,165653.0,LVA
Coal,122,2017,167253.0,LVA
Coal,122,2018,197038.0,LVA
Coal,122,2019,166208.0,LVA
Coal,122,2020,98523.0,LVA
Coal,122,2021,137075.0,LVA
