Code,Year,ConsumptionTotal,GDP 2015 PPP,IntensidadeEnergetica
KOR,2010,3037.210862,1704388433877.5708,1.7819945275562508
KOR,2011,3177.891553,1767206529267.266,1.7982570233698965
KOR,2012,3216.4204439999994,1809664213833.7212,1.7773576000522804
KOR,2013,3228.406754,1866934813500.0571,1.7292552105488397
KOR,2014,3256.654437,1926722538277.2056,1.6902560551930659
KOR,2015,3314.042018,1980846164069.893,1.6730436104088424
KOR,2016,3412.53767,2039219357482.856,1.6734529600642485
KOR,2017,3446.664467,2103651261121.4883,1.6384200797438884
KOR,2018,3505.1888859999995,2164812897274.3232,1.619164820393171
KOR,2019,3465.476,2213390819401.968,1.5656864434525535
KOR,2020,3334.1909399999995,2197688684965.632,1.5171352352174212
KOR,2021,3489.738756,2292293355002.1025,1.5223787777358013
KOR,2022,3530.01333,2352183466044.378,1.5007389436064509
KWT,1992,81.67526699999999,67170317204.91768,1.2159428509297017
KWT,1993,100.172901,90001822081.65086,1.1130097000605366
KWT,1994,116.934494,97594524875.72691,1.198166538019421
KWT,1995,150.549756,102335951140.22208,1.4711326207709228
KWT,1996,149.020096,102955213773.7951,1.447426415212103
KWT,1997,155.05124999999998,105501631080.53232,1.4696573731798048
KWT,1998,190.9837,109365158549.58598,1.7462938154422214
KWT,1999,198.265115,107408605884.10912,1.8458959909964991
KWT,2000,211.94313987223,112450990823.61504,1.8847600925515484
KWT,2001,214.3053362556,112690885419.63812,1.9017095788853744
KWT,2002,226.8295543332,116087707792.5946,1.9539498078337434
KWT,2003,271.0906998722,136201087746.9639,1.990371034156759
KWT,2004,302.8387100917,150148485091.3565,2.0169281755153277
KWT,2005,334.09306,166077805417.52734,2.011665912612913
KWT,2006,321.13062755600004,178558175498.43518,1.7984649913653172
KWT,2007,311.9603003053,189256623413.76132,1.648345482859421
KWT,2008,337.4702090835,193949727672.5454,1.7399880532612404
KWT,2009,349.38324,180225735495.1809,1.9385868452141355
KWT,2010,392.964429165,175953909551.36423,2.2333372993356897
KWT,2011,403.56592082,192895468050.99832,2.0921482754239924
KWT,2012,414.87758887,205676371273.2654,2.017137828237868
KWT,2013,424.64242372496,208040210707.24887,2.041155516432881
KWT,2014,431.849297416,209082236236.31583,2.0654518776425417
KWT,2015,448.7595382215,210322134913.32205,2.1336771729064217
KWT,2016,443.28877634,216475883430.81863,2.0477513213690903
KWT,2017,450.903425809,206275309887.72656,2.1859301826012136
KWT,2018,461.7030521586,211296012291.9383,2.1851006422245463
KWT,2019,420.184305661,210129744234.56512,1.9996422076826672
KWT,2020,397.373872008,191522169361.50604,2.0748191884665856
KWT,2021,416.78927677,193718875666.6163,2.1515160839942125
KWT,2022,443.46359919,210883839333.27853,2.1028809063417846
LKA,1965,10.4538161,22653795619.611816,0.46145980459671554
LKA,1966,10.7811629,23791874611.3407,0.45314474273754884
LKA,1967,11.0466795,25323839227.62837,0.43621661789528526
LKA,1968,11.483015,26792898987.75816,0.42858426799006183
LKA,1969,11.9268952,28860458684.834583,0.41326076380994153
LKA,1970,19.7635793,29970613705.35428,0.6594319186887126
LKA,1971,20.1310905,30362301273.249405,0.6630291399465305
LKA,1972,21.1164874,30237670125.975857,0.698350346174977
LKA,1973,21.8542165,32371663135.334137,0.675103296628149
LKA,1974,18.7623175,33616622538.42917,0.5581261912481446
LKA,1975,19.5754746,35676055215.88756,0.5487006475783928
LKA,1976,19.248328433,36865889720.754456,0.5221175612144181
LKA,1977,20.6801807,38746267702.563,0.5337334903777594
LKA,1978,21.687884397,40936918466.93383,0.5297879080595199
LKA,1979,22.810077138,43558337344.67575,0.5236673052395131
LKA,1980,23.013424918,46104769295.847694,0.4991549739751684
LKA,1981,24.162784733,48732522040.4548,0.4958246304786259
LKA,1982,26.03110333,50750777346.37437,0.5129202879462823
LKA,1983,25.67312138,53193915184.82504,0.48263267125191667
LKA,1984,27.2150256,55906350879.99169,0.4867966728577876
LKA,1985,25.69591193,58701336546.40077,0.4377398103991812
LKA,1986,27.047420390000003,61258100800.32944,0.4415321408373559
LKA,1987,27.813167220000004,62315177138.00664,0.4463305489512358
LKA,1988,27.516164387,63856035199.32189,0.43090937765099774
LKA,1989,26.795490833,65324277918.2944,0.4101919177203149
LKA,1990,29.886989,69505028641.92255,0.42999750642464174
LKA,1991,29.826563222,72702251093.41328,0.4102563919743916
LKA,1992,31.998471222,75901143781.39923,0.4215808830780983
LKA,1993,34.9008539166,81138370710.92375,0.43013994009003753
LKA,1994,37.8094708053,85682053525.60718,0.44127643128908156
LKA,1995,40.738228278,90394639499.8929,0.4506708418041566
LKA,1996,42.8548538778,93829606156.5831,0.4567306166273756
LKA,1997,44.233661,99839767463.82544,0.4430465146668837
LKA,1998,47.1556143388,104530662109.1364,0.45111753228508833
LKA,1999,50.7192775,109026045566.10712,0.4652033120768995
LKA,2000,53.546615528,115567644451.2452,0.463335700768651
LKA,2001,52.032960766600006,113781652674.0161,0.45730536992351656
LKA,2002,53.50913655,118292726191.72316,0.4523451126088257
LKA,2003,55.06168005000001,125319632427.23969,0.4393699453433101
LKA,2004,53.5068811,132143363207.33684,0.40491538735884997
LKA,2005,61.78639764999999,140391418995.29538,0.440100955543946
LKA,2006,66.33404519999999,151157042807.92175,0.43884190883710245
LKA,2007,67.44016132,161430924174.09076,0.4177648221060235
LKA,2008,63.57580403000001,171036206455.3159,0.3717096242228076
LKA,2009,64.45983883999999,177089027380.8622,0.36399679750551317
LKA,2010,69.615894,191284426032.27905,0.3639391634959993
LKA,2011,75.57897399999999,207867796850.99496,0.36359154782487524
LKA,2012,77.95245399999997,225811322106.28244,0.34521056461159266
LKA,2013,79.214137,234960624060.7978,0.33713792392508607
LKA,2014,85.12163900000002,249946363070.00748,0.34055962229047637
LKA,2015,95.522905,260458995814.59503,0.36674834248380866
LKA,2016,104.516601,273621616462.0145,0.38197494171484625
LKA,2017,101.64733,291299436989.3724,0.3489444780619622
LKA,2018,105.246243,298028699409.20013,0.3531413021921575
LKA,2019,107.676732,297371594151.13104,0.36209488101031
LKA,2020,105.385662,283619597746.31805,0.37157397738876147
LKA,2021,106.352999,293580954902.56824,0.3622612339935189
LKA,2022,94.918246,270611247556.16,0.35075499210468547
LTU,1995,98.6376389,38614951870.89623,2.5543897925803805
LTU,1996,107.3542906,40606890384.3649,2.643745669363917
LTU,1997,98.98895095,43981697192.925,2.250685109212284
LTU,1998,106.1575053,47269662757.93376,2.2457851210749853
LTU,1999,87.8185508,46730045922.2299,1.8792737962669954
LTU,2000,78.0343723,48456966648.56721,1.6103850013134766
LTU,2001,91.2660983,51619321062.89503,1.7680608039923222
LTU,2002,97.4014682,55104355429.128204,1.7675820258032362
LTU,2003,102.13442469999998,60926657922.7044,1.6763503560227198
LTU,2004,102.8628918,64929228693.88139,1.5842309214077155
LTU,2005,93.8433556,69949795338.67798,1.341581560684143
LTU,2006,89.6174389,75135958038.9915,1.1927370228445533
LTU,2007,98.1039468,83481669656.96025,1.1751555425655125
LTU,2008,97.1330512,85664233657.04466,1.1338810499241792
LTU,2009,90.03386710000001,72952853508.4314,1.234137703600511
LTU,2010,65.757206,74157480683.29309,0.8867238395116409
LTU,2011,68.4978362,78635856993.30675,0.8710763615869327
LTU,2012,68.600614,81658512980.39636,0.84009139397957
LTU,2013,63.405748,84557449673.47005,0.7498540725252455
LTU,2014,61.163307,87548255021.86475,0.698623941559141
LTU,2015,63.9254487,89320742945.65012,0.7156842474865815
LTU,2016,65.1496794,91570579072.6829,0.7114695577963782
LTU,2017,68.6472439,95492177900.25278,0.7188781888680569
LTU,2018,70.79878159999998,99305476902.73108,0.71293934441649
LTU,2019,70.8655736,103938751069.95262,0.6818012807591484
LTU,2020,70.294484,103913169149.7393,0.6764732956869534
LTU,2021,70.14949089999999,110443810522.72992,0.635160001886777
LTU,2022,63.666737,113138833289.70532,0.5627310725131291
LUX,1965,41.80405542,10023164153.966105,4.170744365536345
LUX,1966,40.05721449999999,10134010738.533314,3.952750350627459
LUX,1967,39.45143936,10155974262.25186,3.884554877874664
LUX,1968,42.66882684,10580887269.082132,4.0326322126765675
LUX,1969,45.91992539,11636104125.571636,3.9463315981408114
LUX,1970,47.68123145,12927066207.057842,3.6884804863122995
LUX,1971,45.84453621,13271861258.57524,3.454265782079273
LUX,1972,47.27470725,14147565006.079723,3.341543737716302
LUX,1973,50.11579873,15323605195.472977,3.2704966025100686
LUX,1974,50.89392767,15969108199.3434,3.1870237858425057
LUX,1975,42.27612228,14919718546.841976,2.833573713020779
LUX,1976,42.3428645,15297834038.492168,2.7678993244048504
LUX,1977,39.48052433,15537975068.522556,2.540905372539901
LUX,1978,41.0696875,16171143210.5363,2.539689802093959
LUX,1979,42.21329244,16550455394.54733,2.5505819286342706
LUX,1980,38.91332395,16689625357.789305,2.3315876249935448
LUX,1981,33.2651833,16597672945.668571,2.0042076626579797
LUX,1982,31.1628946,16785442907.624762,1.8565428848972645
LUX,1983,29.13060966,17287172552.56464,1.6850997218558061
