Code,Year,Entity,Population,GDP_2010_dolar,GDP_PPP_2010_dolar,Consumption
BGD,1997,Bangladesh,122039226.0,68575578231.29252,204391238095.2381,117.89081680000001
BGD,1998,Bangladesh,124350471.0,70619136082.47424,213871429896.9073,125.5591774
BGD,1999,Bangladesh,126754824.0,71722593040.84721,223760877458.3964,126.98536255
BGD,2000,Bangladesh,129193327.0,70997045853.65854,233677054634.1464,136.12083370000002
BGD,2001,Bangladesh,131670484.0,69239258064.51613,243456624288.42508,155.5849921
BGD,2002,Bangladesh,134139826.0,69711765639.58917,255173892623.71616,160.511429
BGD,2003,Bangladesh,136503206.0,73501928767.12329,268899325114.15527,170.1186546
BGD,2004,Bangladesh,138789725.0,78191884393.0636,285319526011.5607,175.96451290000002
BGD,2005,Bangladesh,140912590.0,80007121720.43011,302524157419.35486,189.75885019999998
BGD,2006,Bangladesh,142628831.0,80133570833.33334,322625355000.00006,205.5916387
BGD,2007,Bangladesh,144135934.0,86391542139.38411,343164866288.4927,210.42243479999996
BGD,2008,Bangladesh,145421318.0,95741373390.55794,355450950448.69293,222.65330579999997
BGD,2009,Bangladesh,146706810.0,107453439310.88487,378527016444.7925,244.6658321
BGD,2010,Bangladesh,148391139.0,118920324345.1464,399460424499.2296,250.5408484
BGD,2011,Bangladesh,150211005.0,128604999999.99998,420989000000.0,272.26973030000005
BGD,2012,Bangladesh,152090649.0,130621336260.5196,464272895718.9902,291.4648595
BGD,2013,Bangladesh,154030139.0,144886270465.20016,491763081139.56006,300.3233886
BGD,2014,Bangladesh,155961299.0,164297865862.3137,526246006387.5089,312.58816070000006
BGD,2015,Bangladesh,157830000.0,185189109142.45215,564969745570.5173,363.5335012
BGD,2016,Bangladesh,159784568.0,207526721736.0868,609905360868.0435,369.66439249999996
BGD,2017,Bangladesh,161793964.0,229158056888.2797,652139805346.1274,384.14960199999996
BGD,2018,Bangladesh,163683958.0,244699899699.0973,703707846205.2825,406.8898381
BGD,2019,Bangladesh,165516222.0,266036954007.8844,764552284494.0867,452.5852367
BGD,2020,Bangladesh,167420951.0,286070548523.2068,759720177215.19,438.80627260000006
